FromBIC,ToBIC,TimeTakenInMinutes,Charges
CICIFRPPXXX,BNPAFRPPXXX,111,12
BNPAFRPPXXX,CICIFRPPXXX,111,18
CCBPFRPPXXX,BNPAFRPPXXX,57,13
BNPAFRPPXXX,CCBPFRPPXXX,57,18
CRLYFRPPXXX,BNPAFRPPXXX,104,12
BNPAFRPPXXX,CRLYFRPPXXX,104,18
AGRIFRPPXXX,BNPAFRPPXXX,106,11
BNPAFRPPXXX,AGRIFRPPXXX,106,18
BBVAFRPPXXX,BNPAFRPPXXX,120,17
BNPAFRPPXXX,BBVAFRPPXXX,120,18
CMADFRPPXXX,BNPAFRPPXXX,33,19
BNPAFRPPXXX,CMADFRPPXXX,33,18
CALDFR21XXX,BNPAFRPPXXX,50,13
BNPAFRPPXXX,CALDFR21XXX,50,18
SOGEFRPPXXX,BNPAFRPPXXX,102,19
BNPAFRPPXXX,SOGEFRPPXXX,102,18
CITIFRPPXXX,BNPAFRPPXXX,43,14
BNPAFRPPXXX,CITIFRPPXXX,43,18
KNABNL2HXXX,BNPAFRPPXXX,160,16
BNPAFRPPXXX,KNABNL2HXXX,160,18
MHCBJPJTXXX,BNPAFRPPXXX,146,15
BNPAFRPPXXX,MHCBJPJTXXX,146,18
ABNANL2AXXX,BNPAFRPPXXX,173,16
BNPAFRPPXXX,ABNANL2AXXX,173,18
DEUTDEBBXXX,BNPAFRPPXXX,126,15
BNPAFRPPXXX,DEUTDEBBXXX,126,18
MMTOJPJTXXX,BNPAFRPPXXX,152,20
BNPAFRPPXXX,MMTOJPJTXXX,152,18
NATAAU3302S,BNPAFRPPXXX,232,16
BNPAFRPPXXX,NATAAU3302S,232,18
BLKBCH22XXX,BNPAFRPPXXX,225,17
BNPAFRPPXXX,BLKBCH22XXX,225,18
CRESCHZZXXX,BNPAFRPPXXX,175,11
BNPAFRPPXXX,CRESCHZZXXX,175,18
HSBCGB2LXXX,BNPAFRPPXXX,189,14
BNPAFRPPXXX,HSBCGB2LXXX,189,18
SBININBBFXD,BNPAFRPPXXX,85,15
BNPAFRPPXXX,SBININBBFXD,85,18
ANZBAU3MXXX,BNPAFRPPXXX,169,13
BNPAFRPPXXX,ANZBAU3MXXX,169,18
BOTKJPJTXXX,BNPAFRPPXXX,62,15
BNPAFRPPXXX,BOTKJPJTXXX,62,18
BARCGB22XXX,BNPAFRPPXXX,103,18
BNPAFRPPXXX,BARCGB22XXX,103,18
SMBCJPJTXXX,BNPAFRPPXXX,84,14
BNPAFRPPXXX,SMBCJPJTXXX,84,18
CUSCAU2SXXX,BNPAFRPPXXX,205,20
BNPAFRPPXXX,CUSCAU2SXXX,205,18
ICICINBBCTS,BNPAFRPPXXX,88,20
BNPAFRPPXXX,ICICINBBCTS,88,18
WFBIUS6SXXX,BNPAFRPPXXX,132,15
BNPAFRPPXXX,WFBIUS6SXXX,132,18
ABOCCNBJXXX,BNPAFRPPXXX,83,10
BNPAFRPPXXX,ABOCCNBJXXX,83,18
BKCHCNBJXXX,BNPAFRPPXXX,79,12
BNPAFRPPXXX,BKCHCNBJXXX,79,18
HYVEDEMMXXX,BNPAFRPPXXX,240,10
BNPAFRPPXXX,HYVEDEMMXXX,240,18
HELADEF1RRS,BNPAFRPPXXX,99,10
BNPAFRPPXXX,HELADEF1RRS,99,18
BOFAUS3NXXX,BNPAFRPPXXX,152,12
BNPAFRPPXXX,BOFAUS3NXXX,152,18
BAFUCH22XXX,BNPAFRPPXXX,211,14
BNPAFRPPXXX,BAFUCH22XXX,211,18
UTIBINBBXXX,BNPAFRPPXXX,170,15
BNPAFRPPXXX,UTIBINBBXXX,170,18
CITIUS33XXX,BNPAFRPPXXX,113,10
BNPAFRPPXXX,CITIUS33XXX,113,18
CHASUS33XXX,BNPAFRPPXXX,175,14
BNPAFRPPXXX,CHASUS33XXX,175,18
HDFCINBBXXX,BNPAFRPPXXX,154,20
BNPAFRPPXXX,HDFCINBBXXX,154,18
UBSWCHZH80A,BNPAFRPPXXX,149,17
BNPAFRPPXXX,UBSWCHZH80A,149,18
CCBCCNBJXXX,BNPAFRPPXXX,236,13
BNPAFRPPXXX,CCBCCNBJXXX,236,18
RABONL2UXXX,BNPAFRPPXXX,112,17
BNPAFRPPXXX,RABONL2UXXX,112,18
RBOSGB2LXXX,BNPAFRPPXXX,199,11
BNPAFRPPXXX,RBOSGB2LXXX,199,18
MIDLGB22XXX,BNPAFRPPXXX,155,13
BNPAFRPPXXX,MIDLGB22XXX,155,18
COBADEFFXXX,BNPAFRPPXXX,199,19
BNPAFRPPXXX,COBADEFFXXX,199,18
WPACAU2SXXX,BNPAFRPPXXX,132,20
BNPAFRPPXXX,WPACAU2SXXX,132,18
INGBNL2AXXX,BNPAFRPPXXX,221,14
BNPAFRPPXXX,INGBNL2AXXX,221,18
PCBCCNBJXXX,BNPAFRPPXXX,111,20
BNPAFRPPXXX,PCBCCNBJXXX,111,18
FVLBNL22XXX,KNABNL2HXXX,52,20
KNABNL2HXXX,FVLBNL22XXX,52,16
ABNANL2AXXX,KNABNL2HXXX,107,16
KNABNL2HXXX,ABNANL2AXXX,107,16
SNSBNL2AXXX,KNABNL2HXXX,121,15
KNABNL2HXXX,SNSBNL2AXXX,121,16
TRIONL2UXXX,KNABNL2HXXX,18,19
KNABNL2HXXX,TRIONL2UXXX,18,16
NWABNL2GXXX,KNABNL2HXXX,124,15
KNABNL2HXXX,NWABNL2GXXX,124,16
RABONL2UXXX,KNABNL2HXXX,73,17
KNABNL2HXXX,RABONL2UXXX,73,16
RBRBNL21XXX,KNABNL2HXXX,20,16
KNABNL2HXXX,RBRBNL21XXX,20,16
ASNBNL21XXX,KNABNL2HXXX,33,19
KNABNL2HXXX,ASNBNL21XXX,33,16
INGBNL2AXXX,KNABNL2HXXX,90,14
KNABNL2HXXX,INGBNL2AXXX,90,16
BNPAFRPPXXX,KNABNL2HXXX,221,18
KNABNL2HXXX,BNPAFRPPXXX,221,16
MHCBJPJTXXX,KNABNL2HXXX,123,15
KNABNL2HXXX,MHCBJPJTXXX,123,16
DEUTDEBBXXX,KNABNL2HXXX,71,15
KNABNL2HXXX,DEUTDEBBXXX,71,16
MMTOJPJTXXX,KNABNL2HXXX,63,20
KNABNL2HXXX,MMTOJPJTXXX,63,16
NATAAU3302S,KNABNL2HXXX,142,16
KNABNL2HXXX,NATAAU3302S,142,16
BLKBCH22XXX,KNABNL2HXXX,71,17
KNABNL2HXXX,BLKBCH22XXX,71,16
CRESCHZZXXX,KNABNL2HXXX,103,11
KNABNL2HXXX,CRESCHZZXXX,103,16
CRLYFRPPXXX,KNABNL2HXXX,235,12
KNABNL2HXXX,CRLYFRPPXXX,235,16
AGRIFRPPXXX,KNABNL2HXXX,223,11
KNABNL2HXXX,AGRIFRPPXXX,223,16
HSBCGB2LXXX,KNABNL2HXXX,214,14
KNABNL2HXXX,HSBCGB2LXXX,214,16
SBININBBFXD,KNABNL2HXXX,108,15
KNABNL2HXXX,SBININBBFXD,108,16
ANZBAU3MXXX,KNABNL2HXXX,157,13
KNABNL2HXXX,ANZBAU3MXXX,157,16
BOTKJPJTXXX,KNABNL2HXXX,127,15
KNABNL2HXXX,BOTKJPJTXXX,127,16
BARCGB22XXX,KNABNL2HXXX,197,18
KNABNL2HXXX,BARCGB22XXX,197,16
SMBCJPJTXXX,KNABNL2HXXX,152,14
KNABNL2HXXX,SMBCJPJTXXX,152,16
CUSCAU2SXXX,KNABNL2HXXX,180,20
KNABNL2HXXX,CUSCAU2SXXX,180,16
ICICINBBCTS,KNABNL2HXXX,156,20
KNABNL2HXXX,ICICINBBCTS,156,16
WFBIUS6SXXX,KNABNL2HXXX,67,15
KNABNL2HXXX,WFBIUS6SXXX,67,16
ABOCCNBJXXX,KNABNL2HXXX,139,10
KNABNL2HXXX,ABOCCNBJXXX,139,16
BKCHCNBJXXX,KNABNL2HXXX,228,12
KNABNL2HXXX,BKCHCNBJXXX,228,16
HYVEDEMMXXX,KNABNL2HXXX,228,10
KNABNL2HXXX,HYVEDEMMXXX,228,16
HELADEF1RRS,KNABNL2HXXX,190,10
KNABNL2HXXX,HELADEF1RRS,190,16
BOFAUS3NXXX,KNABNL2HXXX,111,12
KNABNL2HXXX,BOFAUS3NXXX,111,16
BAFUCH22XXX,KNABNL2HXXX,193,14
KNABNL2HXXX,BAFUCH22XXX,193,16
UTIBINBBXXX,KNABNL2HXXX,175,15
KNABNL2HXXX,UTIBINBBXXX,175,16
CITIUS33XXX,KNABNL2HXXX,124,10
KNABNL2HXXX,CITIUS33XXX,124,16
CHASUS33XXX,KNABNL2HXXX,184,14
KNABNL2HXXX,CHASUS33XXX,184,16
HDFCINBBXXX,KNABNL2HXXX,90,20
KNABNL2HXXX,HDFCINBBXXX,90,16
UBSWCHZH80A,KNABNL2HXXX,139,17
KNABNL2HXXX,UBSWCHZH80A,139,16
CCBCCNBJXXX,KNABNL2HXXX,219,13
KNABNL2HXXX,CCBCCNBJXXX,219,16
RBOSGB2LXXX,KNABNL2HXXX,210,11
KNABNL2HXXX,RBOSGB2LXXX,210,16
SOGEFRPPXXX,KNABNL2HXXX,119,19
KNABNL2HXXX,SOGEFRPPXXX,119,16
MIDLGB22XXX,KNABNL2HXXX,101,13
KNABNL2HXXX,MIDLGB22XXX,101,16
COBADEFFXXX,KNABNL2HXXX,221,19
KNABNL2HXXX,COBADEFFXXX,221,16
WPACAU2SXXX,KNABNL2HXXX,123,20
KNABNL2HXXX,WPACAU2SXXX,123,16
PCBCCNBJXXX,KNABNL2HXXX,184,20
KNABNL2HXXX,PCBCCNBJXXX,184,16
MMTOJPJTXXX,MHCBJPJTXXX,125,20
MHCBJPJTXXX,MMTOJPJTXXX,125,15
CHASJPJTXXX,MHCBJPJTXXX,81,11
MHCBJPJTXXX,CHASJPJTXXX,81,15
ZENJJPJTXXX,MHCBJPJTXXX,89,16
MHCBJPJTXXX,ZENJJPJTXXX,89,15
BOTKJPJTXXX,MHCBJPJTXXX,113,15
MHCBJPJTXXX,BOTKJPJTXXX,113,15
ICBKJPJTXXX,MHCBJPJTXXX,63,13
MHCBJPJTXXX,ICBKJPJTXXX,63,15
SMBCJPJTXXX,MHCBJPJTXXX,121,14
MHCBJPJTXXX,SMBCJPJTXXX,121,15
NACNJPJTXXX,MHCBJPJTXXX,58,13
MHCBJPJTXXX,NACNJPJTXXX,58,15
MSKBJPJTXXX,MHCBJPJTXXX,108,20
MHCBJPJTXXX,MSKBJPJTXXX,108,15
SNNFJPJTXXX,MHCBJPJTXXX,92,17
MHCBJPJTXXX,SNNFJPJTXXX,92,15
BNPAFRPPXXX,MHCBJPJTXXX,224,18
MHCBJPJTXXX,BNPAFRPPXXX,224,15
KNABNL2HXXX,MHCBJPJTXXX,147,16
MHCBJPJTXXX,KNABNL2HXXX,147,15
ABNANL2AXXX,MHCBJPJTXXX,99,16
MHCBJPJTXXX,ABNANL2AXXX,99,15
DEUTDEBBXXX,MHCBJPJTXXX,231,15
MHCBJPJTXXX,DEUTDEBBXXX,231,15
NATAAU3302S,MHCBJPJTXXX,226,16
MHCBJPJTXXX,NATAAU3302S,226,15
BLKBCH22XXX,MHCBJPJTXXX,86,17
MHCBJPJTXXX,BLKBCH22XXX,86,15
CRESCHZZXXX,MHCBJPJTXXX,219,11
MHCBJPJTXXX,CRESCHZZXXX,219,15
CRLYFRPPXXX,MHCBJPJTXXX,176,12
MHCBJPJTXXX,CRLYFRPPXXX,176,15
AGRIFRPPXXX,MHCBJPJTXXX,138,11
MHCBJPJTXXX,AGRIFRPPXXX,138,15
HSBCGB2LXXX,MHCBJPJTXXX,172,14
MHCBJPJTXXX,HSBCGB2LXXX,172,15
SBININBBFXD,MHCBJPJTXXX,110,15
MHCBJPJTXXX,SBININBBFXD,110,15
ANZBAU3MXXX,MHCBJPJTXXX,202,13
MHCBJPJTXXX,ANZBAU3MXXX,202,15
BARCGB22XXX,MHCBJPJTXXX,115,18
